id,question,example_1,example_2,answer
10,"請你提供這個在於香港中環的餐廳的描述: 沾仔記 (威靈頓街), 這是一間麵食餐廳。",Restaurant 1: 坤記竹昇麵 // Description: 店東秉承其家族在廣州的製麵方法，在工房經人手以傳統竹竿壓法每日新鮮打製，配方含大量雞蛋，並施以獨門的除鹼方法，製成的麵條彈牙爽口，啖啖蛋香全無鹼水味，配以自製的大地魚湯和蝦籽更是滋味無窮。推介鮮蝦雲吞麵和蝦籽蠔油撈麵。店家另有出售樽裝蝦籽、大地魚粉及竹昇蛋麵等。,Restaurant 2: 九記 // Description: 開業於三十年代的九記深得食客支持，每天自十二時起，即使店舖還未正式營業，來自世界各地的食客都已整裝待發在門外輪候，午膳時間尤其擠擁。店內陳設簡單，進餐時要和其他人共用餐桌。歷久不衰的食物當然要數清湯牛腩，而咖喱牛腩亦不乏老饕捧場，配上更能掛湯的伊府麵，滋味無窮。,開業逾廿年，裝潢簡潔但舒適。招牌菜雲吞、鮮鯪魚球和鮮牛肉各有特色：鯪魚球自家製作，帶魚鮮味；雲吞皮薄餡足，爽口彈牙；鮮牛肉則口感嫩滑，牛味濃郁。配搭用豬骨、大地魚和羅漢果等熬煮而成的湯頭，鮮甜味美。想同時品嘗三種美食，可選擇至尊三寶麵。午市需要排隊及拼桌，建議在非繁忙時間光顧。
11,"請你提供這個在於香港中環的餐廳的描述: Estro, 這是一間意大利菜餐廳。",Restaurant 1: Tuber Umberto Bombana // Description: 這是大廚Bombana創造松露盛宴的舞台。餐廳以1920年代裝飾藝術風格設計，每個細節都奢華細緻，開放式廚房更為客人呈現整個烹飪過程。僅提供一款品嘗菜單，但運用了採購自世界各地的時令食材，例如用上大紅蝦的手工扁意粉，蝦頭的濃郁鮮甜令人一試難忘。菜單定期更新，並設有餐酒配搭。,Restaurant 2: Lucale // Description: 由兩位意籍大廚聯手經營，店內的肉類、芝士、餐酒等都由意大利空運到港，藉此帶給客人最地道的家鄉美食。特別推介自家製的意大利粉，尤其是配搭羊奶芝士和核桃麵包碎的黑松露意粉，香氣四溢，口感恰到好處。酒單豐富，且價格合理。美酒佳餚兼備，餐廳即使藏身於街巷裏，依然不乏捧場客。,自2021年開業以來，來自拿坡里的主廚一直選用意大利、法國及日本的優質食材，提供傳統意菜，並於午、晚餐時段各設不同套餐。招牌紅蝦奶凍呈現漂亮的珊瑚紅色，表面是滿滿的魚子醬，非常奢華。各式手工意粉也不容錯過，鈕扣造型的尤其富有特色。設有主廚餐桌，能與大廚作直接交流，惟須提早查詢。
12,"請你提供這個在於香港中環的餐廳的描述: 麵鮮醬油房周月 (中環), 這是一間拉麵餐廳。",,,周月與別不同之處，在其以醬油為湯底的神髓：採用逾一百四十年歷史的愛媛縣梶田商店特製的醬油，配合沙丁魚粉、鯖魚粉及海帶長時間慢火熬製，味道更醇厚豐富。與日本店一樣，香港店設有製麵房，每天新鮮製造兩款粗幼不同的麵條。除了湯拉麵外，還供應沾麵，麵條有不同份量選擇。
13,"請你提供這個在於香港灣仔的餐廳的描述: 生記飯店, 這是一間粵菜餐廳。",Restaurant 1: 粤 (黃金海岸) // Description: 位於黃金海岸酒店的地面層，優雅舒適的室內環境，與落地玻璃窗外的園林景致巧妙地配合起來。選擇豐富的餐單提供傳統懷舊及較創新的粵菜，廚師精選菜式如龍皇杏汁花膠燉白肺和星洲蝦醬炸雞件等，值得一試。邊品嘗美味的廣式點心，邊欣賞宜人的園林美景，實在是賞心樂事。,Restaurant 2: 星記 // Description: 星記是中環區難得一見的粵式小菜館，以扎實的烹調技巧及新鮮食材見稱。以大廚名字命名的輝哥煎咸雞肉質嫩滑又惹味，值得一試。金榜醬戈巴焗大花蝦則鮮味十足，咸香的醬汁更可沾鍋巴來吃，十分香口。另建議預訂燉湯如杏汁花膠燉豬肺。餐廳於午市提供一系列價格實惠的小菜，甚受上班族歡迎。,創立於1976年的生記一直供應傳統粵菜，於2024初遷至新址，不變的除了親切的服務，菜單上依舊是一道道經典廣東美食，賣相毫不花巧，也不以豪華食材作賣點，卻見扎實的烹調技巧，令人回味無窮。部分菜式如招牌古法鹽焗雞、上湯枸杞浸豬膶、家鄉缽仔焗魚腸等每天限量供應，建議預留。
14,"請你提供這個在於香港黃大仙的餐廳的描述: 文苑飯莊, 這是一間粵菜餐廳。",Restaurant 1: 福臨門 (灣仔) // Description: 開業七十多年，福臨門一直是城中具標誌性的酒家之一。能夠保持水準，全因秉承父輩烹調粵菜的傳統手法，再配合優質食材，例如每天進貨的海產，確保新鮮味美。無論是午市的粵式點心，或是各種傳統菜餚，均十分出色。特別推介招牌菜釀焗鮮蟹蓋、炸子雞。時令菜單全年供應，部分菜式需預訂，建議致電查詢。,Restaurant 2: 裕記 // Description: 於1958年開業的裕記現已交棒給第二代。從鄉村小店到現在的規模，仍保留着傳統食店風味。其招牌燒鵝是店東按家傳秘方以炭火烤製，味道獨特且酥香肉嫩。為確保貨源和品質，餐廳更於內地自設鵝場，並只選用廣東清遠的黑棕鵝。每天首批燒鵝於11:45出爐，早到埗的食客需稍候。此外，亦供應海鮮及特色小菜。,雖位於隱蔽的屋苑商場內，但開業不久已憑着優質粵菜吸引眾多食客捧場。廚師和服務團隊濟濟一堂，均曾效力於其他知名同業。主打傳統粵菜，除了燒味、點心、海鮮，也提供蛇羹和煲仔飯等時令菜式。金牌小炒王選用特大蝦乾、櫻花蝦和蝦球等，口感豐富且鑊氣十足，適合配搭美酒享用。燒味宜提前預訂。
15,"請你提供這個在於香港旺角的餐廳的描述: 奇趣餅家, 這是一間街頭小吃餐廳。",Restaurant 1: 時代豆業 // Description: 小店開業廿多年，主售中式糕點餅食，如傳統的缽仔糕、紅豆糕、芝麻卷、茶果，或較新式的糯米糍和斑蘭糕等，款式多樣，各有特色。,,餅店面積不算大，但提供琳瑯滿目的傳統中式餅食，如雞仔餅、老婆餅、光酥餅、合桃酥及香蕉糕等。
16,"請你提供這個在於香港中環的餐廳的描述: Testina, 這是一間意大利菜餐廳。",Restaurant 1: Tosca di Angelo // Description: 遼闊的天花、開放式廚房、巨型穆拉諾吊燈，以及102樓窗外的迷人海景，令餐廳閃耀華麗光芒。行政主廚來自意大利西西里，故菜單特別着重海鮮佳餚。套餐包含季節和招牌菜式，單點菜單雖然選擇不多，但款款皆盡顯意式烹飪傳統的風味。不要錯過自製意粉及藍龍蝦菜式。供應多款意大利美酒，不妨選之佐餐。,Restaurant 2: Octavium // Description: 優雅的意大利傢具、妝點牆身的挪威樹皮、簡約的設計，都令人放鬆心情。菜單同樣呈現極簡主義：來自西西里島的新任主廚，選用日本新鮮食材，並把家鄉特色融入醬料之中。菜單包括多款海鮮及肉類，手工意粉更是不容錯過，尤其推薦招牌菜紅蝦意麵。如欲有完整的用餐體驗，不妨選擇六或八道菜的品嘗菜單。,水磨石地板、橄欖綠色傢具，加上芥末黃色牆壁，裝潢洋溢七十年代米蘭的格調。餐廳與意大利食府Trippa Milano合作，依其食譜烹調經典的北意美食。菜單包含以豬頭肉、牛肚等食材炮製的菜式，體現「從頭吃到尾」的烹飪理念。推薦鴨肉醬闊條麵，其味道濃郁，不容錯過。愛嘗新的不妨留意隔天更新的特別菜單。
17,"請你提供這個在於香港尖沙咀的餐廳的描述: Tosca di Angelo, 這是一間意大利菜餐廳。",Restaurant 1: Testina // Description: 水磨石地板、橄欖綠色傢具，加上芥末黃色牆壁，裝潢洋溢七十年代米蘭的格調。餐廳與意大利食府Trippa Milano合作，依其食譜烹調經典的北意美食。菜單包含以豬頭肉、牛肚等食材炮製的菜式，體現「從頭吃到尾」的烹飪理念。推薦鴨肉醬闊條麵，其味道濃郁，不容錯過。愛嘗新的不妨留意隔天更新的特別菜單。,Restaurant 2: Little Napoli // Description: 老闆來自意大利拿坡里，食材均由其家鄉進口。薄餅即點即製，亦依照當地傳統，製成13吋大小，並放入由意大利進口的石窯以400度高溫烤烘，成品餅皮香脆，餡料多汁美味，其中以Margherita和微辣的Vesuviana口味較受歡迎。同時供應炸意式餡餅、焗意式三文治等美食。只設少量座位，若計劃於店內用餐，建議提早前往。,遼闊的天花、開放式廚房、巨型穆拉諾吊燈，以及102樓窗外的迷人海景，令餐廳閃耀華麗光芒。行政主廚來自意大利西西里，故菜單特別着重海鮮佳餚。套餐包含季節和招牌菜式，單點菜單雖然選擇不多，但款款皆盡顯意式烹飪傳統的風味。不要錯過自製意粉及藍龍蝦菜式。供應多款意大利美酒，不妨選之佐餐。
18,"請你提供這個在於香港中環的餐廳的描述: 口利福, 這是一間粵菜餐廳。",Restaurant 1: 唐人館 // Description: 由已故鄧永鏘爵士構思及設計，是其繼倫敦唐人館後又一傑作。人手刺繡的牆紙、獨特的鏡飾、古董燈飾及線裝中式排版菜譜，中式傳統藝術與西方美學結合得天衣無縫，流露出典雅貴氣。菜單涵蓋粵、京、川等地美食及精製南北點心：老北京傳統掛爐烤鴨、唐人館叉燒和琉璃蝦球等，滋味無窮。,Restaurant 2: 星記 // Description: 星記是中環區難得一見的粵式小菜館，以扎實的烹調技巧及新鮮食材見稱。以大廚名字命名的輝哥煎咸雞肉質嫩滑又惹味，值得一試。金榜醬戈巴焗大花蝦則鮮味十足，咸香的醬汁更可沾鍋巴來吃，十分香口。另建議預訂燉湯如杏汁花膠燉豬肺。餐廳於午市提供一系列價格實惠的小菜，甚受上班族歡迎。,餐廳裝潢風格大膽：以麻將和招財貓點綴牆身，地庫掛有中西合璧的藝術品，加上背景響起的八十年代金曲，整室洋溢着熱鬧氣氛。菜單囊括傳統廣東菜及創意菜式，主廚巧妙地在經典菜餚中施以細微變化，令口味提升，例如用上沙薑製成的薑蓉來配搭脆皮三黃雞。部分菜式需提前預訂。
19,"請你提供這個在於香港銅鑼灣的餐廳的描述: 時代豆業, 這是一間街頭小吃餐廳。",Restaurant 1: 公和荳品廠 // Description: 供應豆漿、豆腐花及煎釀豆腐、黃金魚腐等各類豆製品，產品皆來自自設工場，豆味濃郁，其中以豆腐花最為馳名。,Restaurant 2: 浩記甜品 (土瓜灣) // Description: 浩記屹立於旺角逾三十年，於2020年遷入現址，繼續提供價格相宜且具水準的傳統中式糖水，生磨芝麻糊、合桃糊、薑汁湯丸等一應俱全。,小店開業廿多年，主售中式糕點餅食，如傳統的缽仔糕、紅豆糕、芝麻卷、茶果，或較新式的糯米糍和斑蘭糕等，款式多樣，各有特色。
20,"請你提供這個在於香港銅鑼灣的餐廳的描述: Leela, 這是一間印度菜餐廳。",Restaurant 1: Prince and the Peacock // Description: 餐廳由大廚Palash Mitra主理，店名象徵皇室與權力。菜式靈感來自印度皇家廚房，涵蓋從南到北的地方美食。Nalli Gosht Biryani採用熟成印度香米，與肉味濃郁的羊膝和羊小排一同烹煮，配搭薄荷碎和乳酪，碰撞出煥然一新的滋味。裝潢以印度地毯、花卉擺設等帶出異國情調，且不失尊貴品味。,Restaurant 2: New Punjab Club // Description: 餐廳供應北印度美食，客人會找到眾多以土窯爐烤製的佳餚，例如小食窯烤蛋，選用日本雞蛋搭配海螯蝦，蛋香濃郁，味道豐富。招牌菜則有以本地三黃雞烹調的Murgh Methi Tikka。菜式分量較大，不妨呼朋喚友共享，同時品嘗多款以氈酒調配的雞尾酒。服務令人感到賓至如歸。建議於網上訂座。,裝修採用現代風格，且帶有強烈印度元素，另附設露台可供小酌。印度籍主廚經驗豐富，菜式囊括從北到南各個地域的特色風味，也添加了不少創新元素。餐廳自設特別訂製的土窯爐，建議嘗嘗別具風味的印度烤肉串。也別錯過這裏的鮟鱇魚咖喱，魚料隔天便從法國空運到港，其質地緊實，鮮味十足，適合多人分享。
21,"請你提供這個在於香港尖沙咀的餐廳的描述: 嘉麟樓, 這是一間粵菜餐廳。",Restaurant 1: 太湖海鮮城 // Description: 太湖於八十年代開業，一直是區內馳名的酒家。其後遷到更舒適的現址後，食物質素依然維持一貫的高水準，加上價格實惠，難怪每天有逾千食客光顧。餐館精於烹調海鮮菜式，更設有不同時令海鮮優惠，讓食客能大飽口福；其廣東小菜亦值得細味，芝麻鹽焗雞、薑米鮮魚炒飯等都是招牌菜。,Restaurant 2: 福臨門 (灣仔) // Description: 開業七十多年，福臨門一直是城中具標誌性的酒家之一。能夠保持水準，全因秉承父輩烹調粵菜的傳統手法，再配合優質食材，例如每天進貨的海產，確保新鮮味美。無論是午市的粵式點心，或是各種傳統菜餚，均十分出色。特別推介招牌菜釀焗鮮蟹蓋、炸子雞。時令菜單全年供應，部分菜式需預訂，建議致電查詢。,古典風格的柚木地板，配襯東方地氈和彩色玻璃，以至一道道遵照傳統烹調而成的廣東菜，反映這家餐廳對傳統的重視。但另一方面，主廚亦為經典美食注入新思維，如加入蟹肉、蛋白同炒的乳香龍蝦球，或是以花入饌的時令菜式。午市供應的點心不容錯過。茗茶選項近三十種，餐室內更展出古董茶壺收藏品。
22,"請你提供這個在於香港大圍的餐廳的描述: 大圍小館 (大圍), 這是一間粵菜餐廳。",Restaurant 1: 夏宮 // Description: 以北京故宮為設計靈感：大紅色餐椅配搭中式屏風，並飾以絲綢畫作、雕塑和水晶吊燈，營造出宮廷氣派。菜單包羅傳統廣東名菜，出品水準穩定，招牌菜包括沙薑豬腳仔、蠔皇吉品鮑魚、脆皮炸子雞、各式燉湯等，部分須提早預訂。除了經典菜式，季節菜單和午市供應的點心也深受食客喜愛，午市經常一席難求。,Restaurant 2: 彭慶記 // Description: 彭慶記開業至今已跨越廿多個年頭，現由第二代接手經營，依舊以懷舊手工粵菜作招徠，傳承經典滋味傳承。除了招牌生炒糯米飯及太史五蛇羹，加入臘腸的缽仔焗魚腸亦值得一試，油香以外還有淡淡的玫瑰露香氣，令人印象深刻。限量的薑葱魚鏢煲採用大魚下巴烹煮，也是不可錯過的菜式。座位數量不多，建議提前訂座。,門外一串串紅燈籠、室內一户户桃木窗框和一幅幅屏風，與餐廳供應的傳統粵菜相映成趣。午市時段以供應點心為主，多款坊間少見的經典點心，如鴛鴦臘腸卷、香煎糯米雞等仍能在此品嘗得到。晚市供應的粵式小菜款式多、分量足，菜式名字趣緻，如麻甩吊桶仔，以新鮮雞隻烹調的雞餚值得一試。
23,"請你提供這個在於香港中環的餐廳的描述: Carbone, 這是一間美國意大利菜餐廳。",,,室內裝潢帶有五十年代紐約的氣息，因為這兒供應美式意大利菜。除了意粉，還有多種扒類選擇，包括軟嫩多汁的塔斯曼尼亞帶長骨羊斧頭扒。侍應更會推着餐車，供客人挑選意大利芝士蛋糕、檸檬芝士蛋糕等甜品。菜式分量慷慨，適合共享。另提供多款意大利餐酒和雞尾酒，不妨以餐廳自製的Limoncello作結。
24,"請你提供這個在於香港中環的餐廳的描述: Arcane, 這是一間歐陸菜餐廳。",Restaurant 1: Neighborhood // Description: 位於荷李活道旁的小巷，低調的門面呼應着簡約裝潢，氣氛悠閒舒適。老闆兼主廚曾於美國習廚，擅長烹調海鮮菜式，每天會到漁市場採購本地海產，以香料烹製的燻魚尤其不能錯過。菜單設約二十種定期更換的小吃，如果想分享，不妨預訂北海道喜知次海鮮飯、羊肚菌鹽焗雞飯等菜式，又或向店員查詢當天的菜單。,Restaurant 2: Cafe Bau // Description: 由大廚梁經倫監督的新餐廳，以香港老照片作裝飾，佈局有如舊式小酒館，加上衣著優雅的服務員貼心接待，氣氛舒適自在。三道菜套餐走經典路線，如想嘗試以現代烹飪手法詮釋的菜品，不妨選擇八道菜套餐。菜式中大量採用本地食材，例如來自流浮山的蠔、本地蔬果和醬料等。客人可在吧檯用餐，品嘗特調的雞尾酒。,開放式廚房讓食客能一窺澳洲籍主廚Shane Osborn烹調時的專注、體會他的熱情，以簡易方式烹調日本海鮮、澳洲牛肉和法國有機雞肉等食材，也反映了他對食材的尊重。讓用餐體驗更完滿，不妨請經驗豐富的侍酒師為您配對餐酒，當中涵蓋勃艮第、大洋洲和美國等地產物。價格合理的午膳套餐值得一試。
