id,question,Answers
10,你可唔可以俾個有關Heimat嘅解釋我？佢係間德國菜嚟。,"位於一幢歷史悠久的大樓內，店舖裝潢典雅優美；牆上掛滿了照片和藝術品、壁爐前擺放著燦爛酒杯更顯氣派非凡！廚師團隊來自慕尼黑及柏林等地，在這裡以傳統方法烹調經典德式美食：烤肉配香料佐蘿蔔泥是必吃之選。「小牛肉」則採自本地農場直送到餐館供應，並由經驗豐富的老厨师掌勺製作成多款不同口味的小牛扒套餐。此外亦有各式各樣精緻甜點可供選擇。
 Restaurant 1: 蘇格蘭 (尖沙咀) // Description: 餐廳名稱取材于蘇格兰首府爱丁堡著名的苏格兰花环标志——三朵花环绕着一个心形图案，并以此命名餐厅菜单中的招牌菜肴「Heart of Scotland（主厨推荐）」「Flower & Heart(季节性菜品)'以及一系列精选葡萄酒与鸡尾酒等饮品组合。其中最受欢迎的是搭配来自法国勃艮第地区的红葡萄品种Pinot Noir酿造而成的心型红酒佳酿 —— 「The Love Potion II Rosewood"
11,你可唔可以俾個有關阿純山東餃子嘅解釋我？佢係間餃子嚟。,阿淳是個老闆兼廚師，在他開業前已在香港經營多家麵食及小販生意超過三十年；而他的兒子則負責後勤工作、管理庫房等事務。「我們一直以傳統方法製作包子」，從不使用酵母粉來發面，而是採用水果糖漬法讓面粉起氣孔作用：先將糯米飯蒸熟待冷卻再拌入米粉裏頭揉成團狀（一般做法是在熱水中加入少量鹽），然後放入冰箱冷藏數小時令它凝固成型——這樣做出的小吃口感鬆軟彈牙又香甜可口！此外還有一種叫「油條酥餅卷兒」的手工糕點也值得一試哦~
12,你可唔可以俾個有關好湯好麵 (大圍)嘅解釋我？佢係間麵食嚟。,位於地標建築「金鐘」旁邊的大樓頂上，從天台可俯瞰維港美景；室内的設計則帶有懷舊風情：牆身貼滿照片框裏的人物肖像以及各式各樣的老式電器擺放在櫃檯後方。「小籠包之王」是招牌菜之一，皮薄肉嫩且汁多味道濃郁！除了餡料豐富的小笼之外，點心選項也十分豐盛——包括叉燒飯腸炒米等等地道美食。
13,你可唔可以俾個有關國金軒 (尖沙咀)嘅解釋我？佢係間粵菜嚟。,由著名設計公司操刀裝潢的新店舔氣氛舒適自在，在輕鬆愉悅的情緞下享受美味佳饌成為可能；而其優質服務及精采餐酒配搭亦不容錯過：從開胃飲品到甜品均別具心思且滋味非凡！
14,你可唔可以俾個有關全記海鮮 (海傍街)嘅解釋我？佢係間海鮮嚟。,全紀元由老闆兼廚師長陳先生掌舵多年，在本地已享有盛名逾三十年之久。「我們一直堅持使用當季的新鮮食材製作美食」，他說：「除了每天到市場採購新鮮蔬菜外，每日亦要前往不同的漁船收集不同類型及各階段成熟度相宜的食物材料作備份保存或即刻處理出售給顧客享用！」
15,你可唔可以俾個有關添好運 (深水埗)嘅解釋我？佢係間點心嚟。,店名取自日籍主厨的名字及他對日本美食文化的熱愛。「添好運（新）」是其繼20年前開業後首度回港執掌食府大任；而以傳統中式烹飪手法炮制的日料則由來自北海道的新手入伙負責。兩者合體之後所創立的小吃品牌，在本地已享有盛譽多年：除了每日限量供應的手工燒賣等經典小吃外，亦會不定期推出創新口味如海鮮味腸粉或抹茶芝士蛋黃酥等等！
16,你可唔可以俾個有關Épure嘅解釋我？佢係間法國菜嚟。,位於新世界酒店頂樓高層戶外陽台旁邊的小酒館ÉPURE是來自巴黎的老闆與其團隊在香港首選的地標建築物中設置的一家酒吧兼用餐空間；他們希望藉此傳承家族傳統及分享對食物的感受。「我們從不放棄任何機會去探索新的味道組合」——這是老闆常說的話語：他的確不斷嘗試不同的方法製作食品並更新陳列品項（例如去年引入日本料理），同時也致力推展當地農業發展以及支持有需要人士的工作坊活動。（如需查詢更多資訊或訂座事宜，请致电+853-97064）
17,你可唔可以俾個有關Ăn Chơi嘅解釋我？佢係間越南菜嚟。,位於一幢歷史悠久的大樓裏面，在充滿懷舊氣息的地庫用餐空間中享用美食是另一種享受體驗！招牌餐飲品牌「ĂN」帶來多道經典越南小吃：從傳統的小籠包到各式炸物；而新推出的海鮮拼盤則令人回味無窮……此外亦有精緻美味的日籍料理及素食佳餚可供品嘖。
18,你可唔可以俾個有關德記嘅解釋我？佢係間潮州菜嚟。,德记是著名粤籍厨师梁耀文先生于1978年創立，其後由他的兒子繼承經營至今已逾四十年，在業界享有盛名；而店舖亦曾多次獲選為「亞洲美食獎」得主及最佳中餐飲食環境等殊榮。「老闆兼廚師長一直堅持使用傳統烹調方法和優質食材製作地道佳餚：以豬肉、雞蛋製成的手工炸鴨皮脆香嫩滑且帶有鮮味汁水; 而手切叉燒則採獨特手法將肥瘦比例恰到好處地混合在一起……此外還有各式點心供應......
19,你可唔可以俾個有關石記廚房嘅解釋我？佢係間粵菜嚟。,石记厨房间内装饰简约大方，在明亮的空间中点缀着古董餐具及中式家具，营造出浓厚的文化氛圍。「老闆」林文清先生自幼習藝學做飯，並從事美食相關工作逾三十年之久：他除了掌舵自家餐飲店舔之外亦經營多家酒家或茶樓——其中不乏在香港歷史悠久的老字號品牌之一。其後更成立「石记餐饮管理有限公司' ，旗下包括位於灣仔的大围街店面以及位于铜锣湾的新址（由原地重建而成）。
20,你可唔可以俾個有關波記嘅解釋我？佢係間燒味嚟。,創立超過三十年後仍屹 standing firm ，其優質食材及精湛烹調技巧令客人回味無窮：除了經典三黃鸡外（另有其他部位供選擇），還有來自雲浮的新品皇蟹煲以及海陸兼備的小吃如炸魚球與脆皮腸仔煎等等！
21,你可唔可以俾個有關美味廚嘅解釋我？佢係間粵菜嚟。,位於新開業的大樓頂楼，在陽光明媚的日子裡欣賞維港美景是另一種享受；若天氣不佳或只想小酌一杯的話就到酒吧區吧！餐飲團隊由經驗老道的老闆一手帶出，選址方便且裝潢典雅時尚：落地玻璃窗外景色迷人，加上柔和燈飾與木制傢具相映成趣，讓人感到心曠神怡。「燒鯇」、「脆炸魚塊配芥辣醬汁」「蜜汁叉烧拼芝士飯』都是經典推薦品項
22,你可唔可以俾個有關Yardbird嘅解釋我？佢係間雞肉串燒嚟。,位於維港旁邊、海濱公園內的一個小屋裏面，在陽光下享用美食是另一番感受！招牌菜為來自美國的新西蘭黑椒牛柳和澳洲牛肉飯；前者以優質安格斯牛腰脊製作而成，配搭特調醬汁及芝士焗至外脆裡軟香口可餵人哦!
23,你可唔可以俾個有關文華廳嘅解釋我？佢係間粵菜嚟。,位於文华酒店内的一樓空間，在裝潢上採用了現代風格；而廚房則被安排在一層半高處，讓客人可欣賞烹調過程。「新會鹽焗蟹蓋」、「蜜汁叉烧拼花膠炒飯」「龍崗醉乳鸽」都是不容錯過之列！
24,你可唔可以俾個有關祥興記 (尖沙咀)嘅解釋我？佢係間街頭小吃嚟。,祥兴记是個以傳統粵菜為主的小攤檔，在這裡可以吃到地道的老北京美食：燒鴆雞及烤羊肋骨等招牌食品均值得一試；此外還有各式各樣的手工麵條可供選擇！
25,你可唔可以俾個有關陸羽茶室嘅解釋我？佢係間粵菜嚟。,位於一幢歷史悠久的大廈內，在充滿懷舊風情的地窖空間享用美食是另一種享受；除了多款由傳承多年的名店提供的地道佳肴外（如海鮮燉湯、燒味等），亦設有多樣化的現代創作料理以及各式甜品小吃。「午市」更會推出一系列價格相宜的小吃與手卷飯團系列餐飲選擇。
26,你可唔可以俾個有關佳佳甜品嘅解釋我？佢係間街頭小吃嚟。,位於地標建築「金鐘」旁邊的小巷內，在店舖外就能看到人龍不斷湧入門市；即使到午膳時間段仍有不少客人逗留享用美食！點樣？除了經典的日式拉面之外還有各式各样的壽司：從傳統生鱼片寿司開始嘗試各種口味如鳗糰飯等，最後再來一碗清湯荞麥粥作結業餘廚師兼主理人的陳先生說他每天早上都會前往日本取貨並製作日籍名菜——鯇子刺身。「我喜歡把食材做得盡善尽美！」
27,你可唔可以俾個有關劉森記麵家 (福榮街)嘅解釋我？佢係間麵食嚟。,劉氏祖籍福建泉州，早前遷居至港島區開設分部後一直經營面館至今超過三十年。「刘记」是繼「老闆叔父の拉籠飯堂（旺角）」「小二哥粥舎」之後又一由家人共同創立的小吃品牌。從選料到烹調過程均嚴謹執行標準化程序，確保出品質素穩定如常時一樣美味豐富——除了每天早上八點開始供應的新會腸粉外，還有各式各樣的手切涼拌米粉與炸醬捣餅可供挑戰口味！
28,你可唔可以俾個有關香宮嘅解釋我？佢係間粵菜嚟。,位於地標利華酒樓旁邊的新址裝潢簡約雅致，在舒適寬敞的大廳內享用美食非常方便；加上服務周到且態度親切友善，令用餐體驗更加愉快。「老闆」兼主厨曾擔任過多家知名飯店行政總 cook 的職責，因此能將豐富經驗融入食譜之中：從傳統經典至創新創意皆有所涉獅子頭燒鴨採用了獨特的手法處理火候與時間配比，並加入薑蓉增加風味; 無骨魚球外觀光亮細緻而且彈牙脆Q ; 好嘗滋味牛扒亦不容錯失……
29,你可唔可以俾個有關Tate嘅解釋我？佢係間創新菜嚟。,由米芝蓮三星大厨兼行政總監執掌後，在這裡可以繼續享受其獨特美食體驗：來自世界各地的新奇配料與傳統粵味佳肴巧妙融合；而裝潢則充滿藝術氣息。「Tate」名稱來自西班牙文「餐桌（taza）」之意，也代表了對食物文化的尊重以及歡迎更多人分享創作心得的理念。（注：如需訂座須提前查詢）。
30,你可唔可以俾個有關萬豪金殿嘅解釋我？佢係間粵菜嚟。,位於百年老店萬豪酒店內，在高樓大廈之間享受舒適用餐體驗是另一種樂趣；餐室裝潢典雅而富現代感：牆身佈滿藝術品與照片框選，加上柔和燈光襯托下精緻餐具擺設，既不失格调又不乏氣氛。「龍鳳宴」採分量十足的大盤子呈現多款名貴佳餚，包括來自雲南的小籠包、「一盅兩件」以及燻鴨等等;另有各式小食配搭茶水或酒類享用。
31,你可唔可以俾個有關Twist & Buckle (Tsim Sha Tsui)嘅解釋我？佢係間街頭小吃嚟。,位於地標摩天輪旁邊的小巷裏面，在一樓享用美食和欣賞維港美景是絕佳體驗！餐室裝潢簡約雅致又帶點懷舊風味；菜單上除了傳統中式快餐如炸醬飯、炒河鮮球以及各式燒烤食品之外，也設有西式的三文治與意籍料理選項。「大廚套餐」則會由主厨親自主理烹調過程並搭配美酒配搭用餐享受極其舒適自在的感受
32,你可唔可以俾個有關鼎泰豐 (銅鑼灣)嘅解釋我？佢係間滬菜嚟。,由知名設計公司操刀、充滿現代感的新場館令鼎泰丰在香港開業後一炮走紅；除了繼續供應經典的小笼和大肉包等招牌美食之外，在午市亦會推出各式各樣價廉物美的套餐選擇。「老闆」更為食客準備了不同口味的日籍拉麵以及來自日本北海道的大份量壽司拼盤！
33,你可唔可以俾個有關利苑酒家 (灣仔)嘅解釋我？佢係間粵菜嚟。,位於利園地下層的一樓空間內設有四個包廂座位區以及多張大桌位；其中一個餐室更可容納超過百名客人同時享用美饌。「老闆」兼行政總監曾為港島著名酒店工作多年，在設計風格方面以傳統中式元素作襯托：天花採用了鏼金鑲嵌玻璃珠組件與木質框架組合而成，配搭紅色座椅格調優雅又富時尚感。
34,你可唔可以俾個有關壹玖捌叁嘅解釋我？佢係間中國菜嚟。,位於維港畔，以海景為主題設計室內空間，在採光良好的大開窗前擺放著綠色植物和花藝裝飾；而落地玻璃則可飽覽灣仔區及中環地區景色。「壹」號是經典北京傳統小館「十八街老店」在香港設立的新門戶：木製桌椅、紅漆櫃檯等古董元素與現代餐桌配合得天衣無縫，加上地道京味小吃如炸醬麵條或豆汁饃餛飊供應不絕……
35,你可唔可以俾個有關竹家嘅解釋我？佢係間日本菜嚟。,竹子是日本人生活不可或缺的一部分，在傳統日籍家庭中常見其身影；而「竹」也代表了堅韌、耐久及永恆等意涵。「竹之味」採用了大量本地優質木材與天然材料建造而成，既舒適又健康宜人！除了招牌炭烤牛小排外還有多款海陸生猛魚蝦選擇，不妨試嘗一下來自北海道的新鲜三文鱼刺身或鴨肝串燒呢!
36,你可唔可以俾個有關Noi by Paulo Airaudo嘅解釋我？佢係間意大利菜嚟。,位於地標摩登酒店之中庭旁邊，在充滿藝術感的地庫空間裡享用精致料理是另一種享受：從午膳到晚餐皆備齊各式餐飲選擇（包括素食），而且均能欣賞維港美景！主厨曾旅居日本多年，擅長烹調日法融合風格菜肴。「時令地中海」系列採用了當季新鮮材料製作海陸兩類菜品，例如將西班牙紅蝦與黑松露一同炮制而成的小吃「龍虾配蘑菇醬」「魚子蛋黃芝士卷心果沙律」則令人回味無窮……
37,你可唔可以俾個有關港灣壹號嘅解釋我？佢係間粵菜嚟。,位於港島半山旁邊的一座別墅裏面，在優雅環境下享用美味佳肴是另一種享受！主厨來自北京和上海等地，擅長製作傳統京滬風格菜肴及創新創作：從清蒸鴨至紅油抄手應有盡有。「龍鳳宴」採用了超過二十道菜品呈現出中國各地風情特色——如四川麻婆豆腐配著川劇變臉表演、「老闆娘的手指花膠燉湯品嘗過之後會發現它比市面上出售的大約高出十倍之久！」
38,你可唔可以俾個有關坤記煲仔小菜 (皇后大道西)嘅解釋我？佢係間粵菜嚟。,店名取自「開天辟地」之意，在充滿現代感的新設大堂裏擺滿了各式各樣來自世界各地的手工陶瓷器皿；而牆上的藝術畫作則由本地著名油画家創作。除了招牌燒腩盅外，燻鴨也值得一試：其表皮酥脆帶金黃色澤，內部嫩滑多汁且味道濃郁！此外還有豐富的小吃選擇可供享用。
39,你可唔可以俾個有關海德花園嘅解釋我？佢係間海鮮嚟。,位於九龍半島的地標建築之一——中環摩天巖旁邊，在高樓林立的城市景觀下營運了多年；店內裝潢簡約而舒適宜人：牆面貼滿綠色植物盆栽，加上柔和燈光襯托出優雅格调; 搬移自日本的新款吧檳桌椅亦增添不少氣息感。「大紅爐」採用炭火烤焗方式製作各式各樣的日籍美食佳餚，其中最受歡迎的是「日清炸豬排飯」「牛油果煎雞蛋饭」等多種配搭豐富的食物系列以及每日限量提供的特別版套餐（例如黑松露芝士意粉）。
