question,answer
我想去上環食越南菜，可以去邊食？,你可以去Mâm Amis、Ăn Chơi。
我想去上環食泰國菜，可以去邊食？,你可以去泰館。
我想去上環食日本菜，可以去邊食？,你可以去瑞兆。
我想去上環食創新菜，可以去邊食？,你可以去Tate、摩。
我想去上環食時尚法國菜，可以去邊食？,你可以去Racines。
我想去上環食川菜，可以去邊食？,你可以去井巷子。
我想去灣仔食越南菜，可以去邊食？,你可以去Brass Spoon。
我想去灣仔食泰國菜，可以去邊食？,你可以去泰麵。
我想去灣仔食馬來西亞菜，可以去邊食？,你可以去莎巴。
我想去灣仔食意大利菜，可以去邊食？,你可以去Giando、Trattoria Felino。
我想去灣仔食時尚歐陸菜，可以去邊食？,你可以去Auor。
我想去灣仔食寧波菜，可以去邊食？,你可以去甬府。
我想去灣仔食時尚法國菜，可以去邊食？,你可以去L'Envol。
我想去灣仔食滬菜，可以去邊食？,你可以去留園雅敘、蘇浙滙。
我想去灣仔食粵菜，可以去邊食？,你可以去家全七福、潤、金紫荊生記、船記、生記飯店、利苑酒家、美味廚、港灣壹號、福臨門。
我想去灣仔食粥麵，可以去邊食？,你可以去靠得住。
我想去灣仔食浙江菜，可以去邊食？,你可以去浙江軒。
我想去灣仔食歐陸菜，可以去邊食？,你可以去Cafe Bau。
我想去灣仔食燒味，可以去邊食？,你可以去甘牌燒鵝。
我想去灣仔食街頭小吃，可以去邊食？,你可以去品味、強記美食。
我想去灣仔食台州菜，可以去邊食？,你可以去新榮記。
我想去西營盤食麵食，可以去邊食？,你可以去英記麵家。
我想去西營盤食街頭小吃，可以去邊食？,你可以去生記滷味。
我想去西營盤食意大利菜，可以去邊食？,你可以去Lucale。
我想去西營盤食粵菜，可以去邊食？,你可以去坤記煲仔小菜。
我想去西營盤食新疆菜，可以去邊食？,你可以去巴依。
我想去其他食麵食，可以去邊食？,你可以去坤記竹昇麵。
我想去其他食台灣菜，可以去邊食？,你可以去台蔡滷肉飯。
我想去其他食海鮮，可以去邊食？,你可以去海德花園。
我想去其他食創新菜，可以去邊食？,你可以去Mosu。
我想去其他食時尚中國菜，可以去邊食？,你可以去壹玖捌叁。
我想去其他食意大利菜，可以去邊食？,你可以去Little Napoli。
我想去其他食法國菜，可以去邊食？,你可以去珀翠。
我想去其他食粵菜，可以去邊食？,你可以去萬豪金殿、夏宮、彭慶記、天外天、香宮、裕記。
我想去其他食扒房，可以去邊食？,你可以去The Steak House。
我想去其他食點心，可以去邊食？,你可以去Lulu Baobao。
我想去尖沙咀食順德菜，可以去邊食？,你可以去彤福軒。
我想去尖沙咀食海鮮，可以去邊食？,你可以去避風塘興記。
我想去尖沙咀食壽司，可以去邊食？,你可以去Sushi Wadatsumi。
我想去尖沙咀食瑞士菜，可以去邊食？,你可以去瑞樵閣、瑞士餐廳。
我想去尖沙咀食意大利菜，可以去邊食？,你可以去Tuber Umberto Bombana、Tosca di Angelo。
我想去尖沙咀食法國菜，可以去邊食？,你可以去吉地士。
我想去尖沙咀食時尚法國菜，可以去邊食？,你可以去Épure。
我想去尖沙咀食粵菜，可以去邊食？,你可以去御寶軒、天龍軒、天寶閣、麗晶軒、嘉麟樓、唐閣、新同樂、翠亨邨、國金軒、富豪。
我想去尖沙咀食滬菜，可以去邊食？,你可以去夜上海、鼎泰豐。
我想去尖沙咀食印度菜，可以去邊食？,你可以去Chaat。
我想去尖沙咀食扒房，可以去邊食？,你可以去Carna by Dario Cecchini。
我想去尖沙咀食街頭小吃，可以去邊食？,你可以去祥興記、第三代肥仔、Twist & Buckle、Owl's。
我想去西環食燒味，可以去邊食？,你可以去波記。
我想去西環食湘菜，可以去邊食？,你可以去書湘門第。
我想去西環食台灣菜，可以去邊食？,你可以去阿元來了。
我想去西環食潮州菜，可以去邊食？,你可以去德記。
我想去銅鑼灣食意大利菜，可以去邊食？,你可以去Involtini。
我想去銅鑼灣食時尚歐陸菜，可以去邊食？,你可以去Roganic。
我想去銅鑼灣食粥麵，可以去邊食？,你可以去何洪記。
我想去銅鑼灣食印度菜，可以去邊食？,你可以去Leela。
我想去銅鑼灣食粵菜，可以去邊食？,你可以去太湖海鮮城、富臨飯店、悅、農圃、蛇王熙。
我想去銅鑼灣食滬菜，可以去邊食？,你可以去鼎泰豐。
我想去銅鑼灣食閩菜，可以去邊食？,你可以去莆田。
我想去銅鑼灣食街頭小吃，可以去邊食？,你可以去時代豆業。
我想去油麻地食街頭小吃，可以去邊食？,你可以去廟街牛什。
我想去佐敦食麵食，可以去邊食？,你可以去麥文記。
我想去佐敦食粵菜，可以去邊食？,你可以去逸東軒。
我想去佐敦食街頭小吃，可以去邊食？,你可以去佳佳甜品、方太糕品舖、西關老袓。
我想去太子食粵菜，可以去邊食？,你可以去聚興家。
我想去太子食餃子，可以去邊食？,你可以去阿純山東餃子。
我想去旺角食粵菜，可以去邊食？,你可以去明閣。
我想去旺角食順德菜，可以去邊食？,你可以去頤東。
我想去旺角食街頭小吃，可以去邊食？,你可以去奇趣餅家、兩姊妹涼皮有限公司、Joyful Dessert House。
我想去北角食順德菜，可以去邊食？,你可以去鳳城。
我想去北角食星馬菜，可以去邊食？,你可以去古月。
我想去北角食粵菜，可以去邊食？,你可以去蛇王良。
我想去北角食潮州菜，可以去邊食？,你可以去潮樂園。
我想去北角食街頭小吃，可以去邊食？,你可以去麥記美食、魚事者。
我想去紅磡食滬菜，可以去邊食？,你可以去詠藜園。
我想去紅磡食街頭小吃，可以去邊食？,你可以去紅磡雞蛋仔。
我想去紅磡食日本菜，可以去邊食？,你可以去竹家。
我想去大角咀食泰國菜，可以去邊食？,你可以去Saya。
我想去天后食麵食，可以去邊食？,你可以去華姐清湯腩。
我想去天后食粵菜，可以去邊食？,你可以去石記廚房。
我想去天后食鐵板燒，可以去邊食？,你可以去鑄·鐵板燒。
我想去大圍食麵食，可以去邊食？,你可以去好湯好麵。
我想去大圍食粵菜，可以去邊食？,你可以去大圍小館。
我想去觀塘食印尼菜，可以去邊食？,你可以去好運印尼餐廳。
我想去黃大仙食粵菜，可以去邊食？,你可以去文苑飯莊。
我想去筲箕灣食滬菜，可以去邊食？,你可以去一家。
我想去深水埗食麵食，可以去邊食？,你可以去劉森記麵家。
我想去深水埗食粵菜，可以去邊食？,你可以去增煇藝廚。
我想去深水埗食街頭小吃，可以去邊食？,你可以去文記車仔麵、合益泰小食、深深甜品、公和荳品廠。
我想去深水埗食點心，可以去邊食？,你可以去添好運。
我想去屯門食粵菜，可以去邊食？,你可以去粤。
我想去屯門食海鮮，可以去邊食？,你可以去容龍。
我想去元朗食麵食，可以去邊食？,你可以去好到底。
我想去元朗食粵菜，可以去邊食？,你可以去大榮華。
我想去元朗食燒味，可以去邊食？,你可以去天鴻燒鵝。
我想去元朗食街頭小吃，可以去邊食？,你可以去蘇記燉蛋。
我想去西貢食海鮮，可以去邊食？,你可以去全記海鮮、六福菜館。
我想去土瓜灣食街頭小吃，可以去邊食？,你可以去魚蛋佬、浩記甜品。
我想去中環食飯，可以去邊食？,你可以去Octavium、Amber、志魂、Arbor、割烹凜、Testina、8 1/2 Otto e Mezzo - Bombana、Mono、一樂燒鵝、L'Atelier de Joël Robuchon、旅、Ryota Kappou Modern、Arcane、Zest by Konishi、長本、Andō、陸羽茶室、王府、廚魔名人坊、Estro、營致會館、Cristal Room by Anne-Sophie Pic、嘗申滙、New Punjab Club、酉玉、文華廳、Ami、Prince and the Peacock、Sếp、沾仔記、Heimat、Carbone、Clarence、文華扒房+酒吧、Beefbar、唐人館、星記、都爹利會館、廚魔、Plaisance by Mauro Colagreco、Cornerstone、Neighborhood、La Brasserie、Feuille、Vea、Noi by Paulo Airaudo、Caprice、永、Whey、Godenya、鮨．齋藤、Louise、九記、大班樓、正斗粥麵專家、麵鮮醬油房周月、口利福、廣尾內津、龍景軒、Belon、一宝、Hansik Goo。
我想去上環食飯，可以去邊食？,你可以去瑞兆、Tate、Yardbird、摩、Racines、Mâm Amis、Ăn Chơi、井巷子、泰館。
我想去灣仔食飯，可以去邊食？,你可以去Brass Spoon、家全七福、甬府、留園雅敘、Giando、蘇浙滙、L'Envol、潤、品味、甘牌燒鵝、泰麵、新榮記、Auor、金紫荊生記、Cafe Bau、船記、生記飯店、利苑酒家、浙江軒、美味廚、靠得住、莎巴、港灣壹號、Trattoria Felino、強記美食、福臨門。
我想去西營盤食飯，可以去邊食？,你可以去坤記煲仔小菜、巴依、Lucale、生記滷味、英記麵家。
我想去其他食飯，可以去邊食？,你可以去萬豪金殿、珀翠、夏宮、Mosu、The Steak House、壹玖捌叁、彭慶記、天外天、Little Napoli、香宮、Lulu Baobao、裕記、海德花園、台蔡滷肉飯、坤記竹昇麵。
我想去尖沙咀食飯，可以去邊食？,你可以去御寶軒、Épure、天龍軒、祥興記、Sushi Wadatsumi、Tuber Umberto Bombana、夜上海、天寶閣、瑞樵閣、麗晶軒、嘉麟樓、鼎泰豐、唐閣、吉地士、第三代肥仔、新同樂、翠亨邨、Twist & Buckle、瑞士餐廳、國金軒、富豪、Owl's、Carna by Dario Cecchini、Tosca di Angelo、Chaat、彤福軒、避風塘興記。
我想去西環食飯，可以去邊食？,你可以去書湘門第、波記、德記、阿元來了。
我想去銅鑼灣食飯，可以去邊食？,你可以去太湖海鮮城、Roganic、富臨飯店、Involtini、時代豆業、悅、農圃、Leela、鼎泰豐、何洪記、蛇王熙、莆田。
我想去油麻地食飯，可以去邊食？,你可以去廟街牛什。
我想去佐敦食飯，可以去邊食？,你可以去逸東軒、佳佳甜品、方太糕品舖、西關老袓、麥文記。
我想去太子食飯，可以去邊食？,你可以去阿純山東餃子、聚興家。
我想去旺角食飯，可以去邊食？,你可以去頤東、奇趣餅家、兩姊妹涼皮有限公司、Joyful Dessert House、明閣。
我想去北角食飯，可以去邊食？,你可以去古月、鳳城、潮樂園、麥記美食、蛇王良、魚事者。
我想去紅磡食飯，可以去邊食？,你可以去詠藜園、竹家、紅磡雞蛋仔。
我想去大角咀食飯，可以去邊食？,你可以去Saya。
我想去天后食飯，可以去邊食？,你可以去石記廚房、華姐清湯腩、鑄·鐵板燒。
我想去大圍食飯，可以去邊食？,你可以去大圍小館、好湯好麵。
我想去觀塘食飯，可以去邊食？,你可以去好運印尼餐廳。
我想去黃大仙食飯，可以去邊食？,你可以去文苑飯莊。
我想去筲箕灣食飯，可以去邊食？,你可以去一家。
我想去深水埗食飯，可以去邊食？,你可以去劉森記麵家、文記車仔麵、增煇藝廚、合益泰小食、深深甜品、添好運、公和荳品廠。
我想去屯門食飯，可以去邊食？,你可以去粤、容龍。
我想去元朗食飯，可以去邊食？,你可以去蘇記燉蛋、天鴻燒鵝、大榮華、好到底。
我想去西貢食飯，可以去邊食？,你可以去全記海鮮、六福菜館。
我想去土瓜灣食飯，可以去邊食？,你可以去魚蛋佬、浩記甜品。
我想去一星嘅拉麵，有咩推介呀？,你可以去抱歉，暫時未有一星嘅拉麵推介。！
我想去一星嘅順德菜，有咩推介呀？,你可以去彤福軒！
我想去一星嘅海鮮，有咩推介呀？,你可以去六福菜館！
我想去一星嘅創新菜，有咩推介呀？,你可以去Andō、Vea、摩！
我想去一星嘅天婦羅，有咩推介呀？,你可以去抱歉，暫時未有一星嘅天婦羅推介。！
我想去一星嘅印尼菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅印尼菜推介。！
我想去一星嘅韓國菜，有咩推介呀？,你可以去Hansik Goo！
我想去一星嘅時尚歐陸菜，有咩推介呀？,你可以去Arcane、文華扒房+酒吧、Neighborhood、Whey、Roganic！
我想去一星嘅時尚法國菜，有咩推介呀？,你可以去Zest by Konishi、Cristal Room by Anne-Sophie Pic、Feuille、Louise、Belon、Racines、Épure！
我想去一星嘅印度菜，有咩推介呀？,你可以去New Punjab Club、Chaat！
我想去一星嘅川菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅川菜推介。！
我想去一星嘅街頭小吃，有咩推介呀？,你可以去抱歉，暫時未有一星嘅街頭小吃推介。！
我想去一星嘅台州菜，有咩推介呀？,你可以去新榮記！
我想去一星嘅麵食，有咩推介呀？,你可以去抱歉，暫時未有一星嘅麵食推介。！
我想去一星嘅雞肉串燒，有咩推介呀？,你可以去Yardbird！
我想去一星嘅越南菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅越南菜推介。！
我想去一星嘅拉丁美洲菜，有咩推介呀？,你可以去Mono！
我想去一星嘅壽司，有咩推介呀？,你可以去鮨．齋藤、Sushi Wadatsumi！
我想去一星嘅法國菜，有咩推介呀？,你可以去珀翠、吉地士！
我想去一星嘅滬菜，有咩推介呀？,你可以去留園雅敘、夜上海！
我想去一星嘅德國菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅德國菜推介。！
我想去一星嘅閩菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅閩菜推介。！
我想去一星嘅台灣菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅台灣菜推介。！
我想去一星嘅鐵板燒，有咩推介呀？,你可以去鑄·鐵板燒！
我想去一星嘅美國意大利菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅美國意大利菜推介。！
我想去一星嘅馬來西亞菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅馬來西亞菜推介。！
我想去一星嘅粥麵，有咩推介呀？,你可以去何洪記！
我想去一星嘅寧波菜，有咩推介呀？,你可以去甬府！
我想去一星嘅扒房，有咩推介呀？,你可以去Beefbar！
我想去一星嘅時尚意大利菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅時尚意大利菜推介。！
我想去一星嘅湘菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅湘菜推介。！
我想去一星嘅餃子，有咩推介呀？,你可以去抱歉，暫時未有一星嘅餃子推介。！
我想去一星嘅點心，有咩推介呀？,你可以去抱歉，暫時未有一星嘅點心推介。！
我想去一星嘅泰國菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅泰國菜推介。！
我想去一星嘅日本菜，有咩推介呀？,你可以去割烹凜、Ryota Kappou Modern、長本、Godenya、瑞兆！
我想去一星嘅星馬菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅星馬菜推介。！
我想去一星嘅時尚中國菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅時尚中國菜推介。！
我想去一星嘅瑞士菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅瑞士菜推介。！
我想去一星嘅意大利菜，有咩推介呀？,你可以去Estro、Tosca di Angelo！
我想去一星嘅粵菜，有咩推介呀？,你可以去廚魔名人坊、文華廳、都爹利會館、大班樓、家全七福、萬豪金殿、夏宮、御寶軒、嘉麟樓、新同樂、富豪、逸東軒、彭慶記、香宮、明閣、福臨門！
我想去一星嘅浙江菜，有咩推介呀？,你可以去浙江軒！
我想去一星嘅潮州菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅潮州菜推介。！
我想去一星嘅歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅歐陸菜推介。！
我想去一星嘅燒味，有咩推介呀？,你可以去一樂燒鵝、甘牌燒鵝！
我想去一星嘅新疆菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅新疆菜推介。！
我想去兩星嘅拉麵，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅拉麵推介。！
我想去兩星嘅順德菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅順德菜推介。！
我想去兩星嘅海鮮，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅海鮮推介。！
我想去兩星嘅創新菜，有咩推介呀？,你可以去Arbor、廚魔、Tate！
我想去兩星嘅天婦羅，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅天婦羅推介。！
我想去兩星嘅印尼菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅印尼菜推介。！
我想去兩星嘅韓國菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅韓國菜推介。！
我想去兩星嘅時尚歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅時尚歐陸菜推介。！
我想去兩星嘅時尚法國菜，有咩推介呀？,你可以去Amber、L'Envol！
我想去兩星嘅印度菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅印度菜推介。！
我想去兩星嘅川菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅川菜推介。！
我想去兩星嘅街頭小吃，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅街頭小吃推介。！
我想去兩星嘅台州菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅台州菜推介。！
我想去兩星嘅麵食，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅麵食推介。！
我想去兩星嘅雞肉串燒，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅雞肉串燒推介。！
我想去兩星嘅越南菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅越南菜推介。！
我想去兩星嘅拉丁美洲菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅拉丁美洲菜推介。！
我想去兩星嘅壽司，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅壽司推介。！
我想去兩星嘅法國菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅法國菜推介。！
我想去兩星嘅滬菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅滬菜推介。！
我想去兩星嘅德國菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅德國菜推介。！
我想去兩星嘅閩菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅閩菜推介。！
我想去兩星嘅台灣菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅台灣菜推介。！
我想去兩星嘅鐵板燒，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅鐵板燒推介。！
我想去兩星嘅美國意大利菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅美國意大利菜推介。！
我想去兩星嘅馬來西亞菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅馬來西亞菜推介。！
我想去兩星嘅粥麵，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅粥麵推介。！
我想去兩星嘅寧波菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅寧波菜推介。！
我想去兩星嘅扒房，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅扒房推介。！
我想去兩星嘅時尚意大利菜，有咩推介呀？,你可以去Noi by Paulo Airaudo！
我想去兩星嘅湘菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅湘菜推介。！
我想去兩星嘅餃子，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅餃子推介。！
我想去兩星嘅點心，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅點心推介。！
我想去兩星嘅泰國菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅泰國菜推介。！
我想去兩星嘅日本菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅日本菜推介。！
我想去兩星嘅星馬菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅星馬菜推介。！
我想去兩星嘅時尚中國菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅時尚中國菜推介。！
我想去兩星嘅瑞士菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅瑞士菜推介。！
我想去兩星嘅意大利菜，有咩推介呀？,你可以去Octavium！
我想去兩星嘅粵菜，有咩推介呀？,你可以去營致會館、龍景軒、潤、天龍軒、麗晶軒！
我想去兩星嘅浙江菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅浙江菜推介。！
我想去兩星嘅潮州菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅潮州菜推介。！
我想去兩星嘅歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅歐陸菜推介。！
我想去兩星嘅燒味，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅燒味推介。！
我想去兩星嘅新疆菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅新疆菜推介。！
我想去三星嘅拉麵，有咩推介呀？,你可以去抱歉，暫時未有三星嘅拉麵推介。！
我想去三星嘅順德菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅順德菜推介。！
我想去三星嘅海鮮，有咩推介呀？,你可以去抱歉，暫時未有三星嘅海鮮推介。！
我想去三星嘅創新菜，有咩推介呀？,你可以去旅！
我想去三星嘅天婦羅，有咩推介呀？,你可以去抱歉，暫時未有三星嘅天婦羅推介。！
我想去三星嘅印尼菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅印尼菜推介。！
我想去三星嘅韓國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅韓國菜推介。！
我想去三星嘅時尚歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅時尚歐陸菜推介。！
我想去三星嘅時尚法國菜，有咩推介呀？,你可以去L'Atelier de Joël Robuchon、Caprice！
我想去三星嘅印度菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅印度菜推介。！
我想去三星嘅川菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅川菜推介。！
我想去三星嘅街頭小吃，有咩推介呀？,你可以去抱歉，暫時未有三星嘅街頭小吃推介。！
我想去三星嘅台州菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅台州菜推介。！
我想去三星嘅麵食，有咩推介呀？,你可以去抱歉，暫時未有三星嘅麵食推介。！
我想去三星嘅雞肉串燒，有咩推介呀？,你可以去抱歉，暫時未有三星嘅雞肉串燒推介。！
我想去三星嘅越南菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅越南菜推介。！
我想去三星嘅拉丁美洲菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅拉丁美洲菜推介。！
我想去三星嘅壽司，有咩推介呀？,你可以去志魂！
我想去三星嘅法國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅法國菜推介。！
我想去三星嘅滬菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅滬菜推介。！
我想去三星嘅德國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅德國菜推介。！
我想去三星嘅閩菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅閩菜推介。！
我想去三星嘅台灣菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅台灣菜推介。！
我想去三星嘅鐵板燒，有咩推介呀？,你可以去抱歉，暫時未有三星嘅鐵板燒推介。！
我想去三星嘅美國意大利菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅美國意大利菜推介。！
我想去三星嘅馬來西亞菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅馬來西亞菜推介。！
我想去三星嘅粥麵，有咩推介呀？,你可以去抱歉，暫時未有三星嘅粥麵推介。！
我想去三星嘅寧波菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅寧波菜推介。！
我想去三星嘅扒房，有咩推介呀？,你可以去抱歉，暫時未有三星嘅扒房推介。！
我想去三星嘅時尚意大利菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅時尚意大利菜推介。！
我想去三星嘅湘菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅湘菜推介。！
我想去三星嘅餃子，有咩推介呀？,你可以去抱歉，暫時未有三星嘅餃子推介。！
我想去三星嘅點心，有咩推介呀？,你可以去抱歉，暫時未有三星嘅點心推介。！
我想去三星嘅泰國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅泰國菜推介。！
我想去三星嘅日本菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅日本菜推介。！
我想去三星嘅星馬菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅星馬菜推介。！
我想去三星嘅時尚中國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅時尚中國菜推介。！
我想去三星嘅瑞士菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅瑞士菜推介。！
我想去三星嘅意大利菜，有咩推介呀？,你可以去8 1/2 Otto e Mezzo - Bombana！
我想去三星嘅粵菜，有咩推介呀？,你可以去唐閣、富臨飯店！
我想去三星嘅浙江菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅浙江菜推介。！
我想去三星嘅潮州菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅潮州菜推介。！
我想去三星嘅歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅歐陸菜推介。！
我想去三星嘅燒味，有咩推介呀？,你可以去抱歉，暫時未有三星嘅燒味推介。！
我想去三星嘅新疆菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅新疆菜推介。！
我想食意大利菜，你有冇邊間推介呀？,你可以考慮吓Octavium，呢間餐廳優雅的意大利傢具、妝點牆身的挪威樹皮、簡約的設計，都令人放鬆心情。菜單同樣呈現極簡主義：來自西西里島的新任主廚，選用日本新鮮食材，並把家鄉特色融入醬料之中。菜單包括多款海鮮及肉類，手工意粉更是不容錯過，尤其推薦招牌菜紅蝦意麵。如欲有完整的用餐體驗，不妨選擇六或八道菜的品嘗菜單。。。
我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓Amber，呢間餐廳這典雅的餐廳以金色和米色為主調，加上名貴皮革座椅、淺色橡木餐桌等，盡顯奢華優雅。主廚以法國菜的技巧，配合各地進口的優質食材，設計出多款套餐。烹飪風格貼合現代飲食潮流：精緻、輕盈、低糖低鹽、不含麩質和奶製品，更提供素食選擇，滿足追求健康的客人。。。
我想食壽司，你有冇邊間推介呀？,你可以考慮吓志魂，呢間餐廳由著名室內設計師、木材及陶瓷職人聯手，雕琢出精緻的用餐環境。料理長柿沼先生十分重視料理的細節，他尤其擅長以熟成技巧處理魚料，如在熟成過程中加入不同的酒盜以作提味；米飯則選用來自京都、經特別混合的新米，以加強香味、甜度和幼滑度，配合兩種熟成四年的醋，令整體味道更臻極致。。。
