id,question,answer
41,我想去灣仔食粥麵，可以去邊食？,你可以去靠得住。
42,我想去灣仔食浙江菜，可以去邊食？,你可以去浙江軒。
43,我想去灣仔食歐陸菜，可以去邊食？,你可以去Cafe Bau。
44,我想去灣仔食燒味，可以去邊食？,你可以去甘牌燒鵝。
45,我想去灣仔食街頭小吃，可以去邊食？,你可以去品味、強記美食。
46,我想去灣仔食台州菜，可以去邊食？,你可以去新榮記。
47,我想去西營盤食麵食，可以去邊食？,你可以去英記麵家。
48,我想去西營盤食街頭小吃，可以去邊食？,你可以去生記滷味。
49,我想去西營盤食意大利菜，可以去邊食？,你可以去Lucale。
50,我想去西營盤食粵菜，可以去邊食？,你可以去坤記煲仔小菜。
51,我想去西營盤食新疆菜，可以去邊食？,你可以去巴依。
52,我想去其他食麵食，可以去邊食？,你可以去坤記竹昇麵。
53,我想去其他食台灣菜，可以去邊食？,你可以去台蔡滷肉飯。
54,我想去其他食海鮮，可以去邊食？,你可以去海德花園。
55,我想去其他食創新菜，可以去邊食？,你可以去Mosu。
58,我想去其他食法國菜，可以去邊食？,你可以去珀翠。
59,我想去其他食粵菜，可以去邊食？,你可以去萬豪金殿、夏宮、彭慶記、天外天、香宮、裕記。
60,我想去其他食扒房，可以去邊食？,你可以去The Steak House。
61,我想去其他食點心，可以去邊食？,你可以去Lulu Baobao。
62,我想去尖沙咀食順德菜，可以去邊食？,你可以去彤福軒。
63,我想去尖沙咀食海鮮，可以去邊食？,你可以去避風塘興記。
65,我想去尖沙咀食瑞士菜，可以去邊食？,你可以去瑞樵閣、瑞士餐廳。
66,我想去尖沙咀食意大利菜，可以去邊食？,你可以去Tuber Umberto Bombana、Tosca di Angelo。
67,我想去尖沙咀食法國菜，可以去邊食？,你可以去吉地士。
68,我想去尖沙咀食時尚法國菜，可以去邊食？,你可以去Épure。
70,我想去尖沙咀食滬菜，可以去邊食？,你可以去夜上海、鼎泰豐。
72,我想去尖沙咀食扒房，可以去邊食？,你可以去Carna by Dario Cecchini。
75,我想去西環食湘菜，可以去邊食？,你可以去書湘門第。
81,我想去銅鑼灣食印度菜，可以去邊食？,你可以去Leela。
82,我想去銅鑼灣食粵菜，可以去邊食？,你可以去太湖海鮮城、富臨飯店、悅、農圃、蛇王熙。
84,我想去銅鑼灣食閩菜，可以去邊食？,你可以去莆田。
86,我想去油麻地食街頭小吃，可以去邊食？,你可以去廟街牛什。
88,我想去佐敦食粵菜，可以去邊食？,你可以去逸東軒。
89,我想去佐敦食街頭小吃，可以去邊食？,你可以去佳佳甜品、方太糕品舖、西關老袓。
90,我想去太子食粵菜，可以去邊食？,你可以去聚興家。
92,我想去旺角食粵菜，可以去邊食？,你可以去明閣。
93,我想去旺角食順德菜，可以去邊食？,你可以去頤東。
95,我想去北角食順德菜，可以去邊食？,你可以去鳳城。
96,我想去北角食星馬菜，可以去邊食？,你可以去古月。
97,我想去北角食粵菜，可以去邊食？,你可以去蛇王良。
98,我想去北角食潮州菜，可以去邊食？,你可以去潮樂園。
99,我想去北角食街頭小吃，可以去邊食？,你可以去麥記美食、魚事者。
100,我想去紅磡食滬菜，可以去邊食？,你可以去詠藜園。
101,我想去紅磡食街頭小吃，可以去邊食？,你可以去紅磡雞蛋仔。
103,我想去大角咀食泰國菜，可以去邊食？,你可以去Saya。
104,我想去天后食麵食，可以去邊食？,你可以去華姐清湯腩。
106,我想去天后食鐵板燒，可以去邊食？,你可以去鑄·鐵板燒。
107,我想去大圍食麵食，可以去邊食？,你可以去好湯好麵。
108,我想去大圍食粵菜，可以去邊食？,你可以去大圍小館。
109,我想去觀塘食印尼菜，可以去邊食？,你可以去好運印尼餐廳。
110,我想去黃大仙食粵菜，可以去邊食？,你可以去文苑飯莊。
111,我想去筲箕灣食滬菜，可以去邊食？,你可以去一家。
112,我想去深水埗食麵食，可以去邊食？,你可以去劉森記麵家。
113,我想去深水埗食粵菜，可以去邊食？,你可以去增煇藝廚。
114,我想去深水埗食街頭小吃，可以去邊食？,你可以去文記車仔麵、合益泰小食、深深甜品、公和荳品廠。
115,我想去深水埗食點心，可以去邊食？,你可以去添好運。
116,我想去屯門食粵菜，可以去邊食？,你可以去粤。
117,我想去屯門食海鮮，可以去邊食？,你可以去容龍。
119,我想去元朗食粵菜，可以去邊食？,你可以去大榮華。
120,我想去元朗食燒味，可以去邊食？,你可以去天鴻燒鵝。
121,我想去元朗食街頭小吃，可以去邊食？,你可以去蘇記燉蛋。
122,我想去西貢食海鮮，可以去邊食？,你可以去全記海鮮、六福菜館。
123,我想去土瓜灣食街頭小吃，可以去邊食？,你可以去魚蛋佬、浩記甜品。
124,我想去中環食飯，可以去邊食？,你可以去Octavium、Amber、志魂、Arbor、割烹凜、Testina、8 1/2 Otto e Mezzo - Bombana、Mono、一樂燒鵝、L'Atelier de Joël Robuchon、旅、Ryota Kappou Modern、Arcane、Zest by Konishi、長本、Andō、陸羽茶室、王府、廚魔名人坊、Estro、營致會館、Cristal Room by Anne-Sophie Pic、嘗申滙、New Punjab Club、酉玉、文華廳、Ami、Prince and the Peacock、Sếp、沾仔記、Heimat、Carbone、Clarence、文華扒房+酒吧、Beefbar、唐人館、星記、都爹利會館、廚魔、Plaisance by Mauro Colagreco、Cornerstone、Neighborhood、La Brasserie、Feuille、Vea、Noi by Paulo Airaudo、Caprice、永、Whey、Godenya、鮨．齋藤、Louise、九記、大班樓、正斗粥麵專家、麵鮮醬油房周月、口利福、廣尾內津、龍景軒、Belon、一宝、Hansik Goo。
126,我想去灣仔食飯，可以去邊食？,你可以去Brass Spoon、家全七福、甬府、留園雅敘、Giando、蘇浙滙、L'Envol、潤、品味、甘牌燒鵝、泰麵、新榮記、Auor、金紫荊生記、Cafe Bau、船記、生記飯店、利苑酒家、浙江軒、美味廚、靠得住、莎巴、港灣壹號、Trattoria Felino、強記美食、福臨門。
128,我想去其他食飯，可以去邊食？,你可以去萬豪金殿、珀翠、夏宮、Mosu、The Steak House、壹玖捌叁、彭慶記、天外天、Little Napoli、香宮、Lulu Baobao、裕記、海德花園、台蔡滷肉飯、坤記竹昇麵。
129,我想去尖沙咀食飯，可以去邊食？,你可以去御寶軒、Épure、天龍軒、祥興記、Sushi Wadatsumi、Tuber Umberto Bombana、夜上海、天寶閣、瑞樵閣、麗晶軒、嘉麟樓、鼎泰豐、唐閣、吉地士、第三代肥仔、新同樂、翠亨邨、Twist & Buckle、瑞士餐廳、國金軒、富豪、Owl's、Carna by Dario Cecchini、Tosca di Angelo、Chaat、彤福軒、避風塘興記。
130,我想去西環食飯，可以去邊食？,你可以去書湘門第、波記、德記、阿元來了。
131,我想去銅鑼灣食飯，可以去邊食？,你可以去太湖海鮮城、Roganic、富臨飯店、Involtini、時代豆業、悅、農圃、Leela、鼎泰豐、何洪記、蛇王熙、莆田。
133,我想去佐敦食飯，可以去邊食？,你可以去逸東軒、佳佳甜品、方太糕品舖、西關老袓、麥文記。
134,我想去太子食飯，可以去邊食？,你可以去阿純山東餃子、聚興家。
135,我想去旺角食飯，可以去邊食？,你可以去頤東、奇趣餅家、兩姊妹涼皮有限公司、Joyful Dessert House、明閣。
136,我想去北角食飯，可以去邊食？,你可以去古月、鳳城、潮樂園、麥記美食、蛇王良、魚事者。
137,我想去紅磡食飯，可以去邊食？,你可以去詠藜園、竹家、紅磡雞蛋仔。
138,我想去大角咀食飯，可以去邊食？,你可以去Saya。
139,我想去天后食飯，可以去邊食？,你可以去石記廚房、華姐清湯腩、鑄·鐵板燒。
140,我想去大圍食飯，可以去邊食？,你可以去大圍小館、好湯好麵。
141,我想去觀塘食飯，可以去邊食？,你可以去好運印尼餐廳。
142,我想去黃大仙食飯，可以去邊食？,你可以去文苑飯莊。
143,我想去筲箕灣食飯，可以去邊食？,你可以去一家。
144,我想去深水埗食飯，可以去邊食？,你可以去劉森記麵家、文記車仔麵、增煇藝廚、合益泰小食、深深甜品、添好運、公和荳品廠。
145,我想去屯門食飯，可以去邊食？,你可以去粤、容龍。
146,我想去元朗食飯，可以去邊食？,你可以去蘇記燉蛋、天鴻燒鵝、大榮華、好到底。
147,我想去西貢食飯，可以去邊食？,你可以去全記海鮮、六福菜館。
148,我想去土瓜灣食飯，可以去邊食？,你可以去魚蛋佬、浩記甜品。
150,我想去一星嘅順德菜，有咩推介呀？,你可以去彤福軒！
151,我想去一星嘅海鮮，有咩推介呀？,你可以去六福菜館！
152,我想去一星嘅創新菜，有咩推介呀？,你可以去Andō、Vea、摩！
153,我想去一星嘅天婦羅，有咩推介呀？,你可以去抱歉，暫時未有一星嘅天婦羅推介。！
157,我想去一星嘅時尚法國菜，有咩推介呀？,你可以去Zest by Konishi、Cristal Room by Anne-Sophie Pic、Feuille、Louise、Belon、Racines、Épure！
158,我想去一星嘅印度菜，有咩推介呀？,你可以去New Punjab Club、Chaat！
159,我想去一星嘅川菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅川菜推介。！
160,我想去一星嘅街頭小吃，有咩推介呀？,你可以去抱歉，暫時未有一星嘅街頭小吃推介。！
161,我想去一星嘅台州菜，有咩推介呀？,你可以去新榮記！
162,我想去一星嘅麵食，有咩推介呀？,你可以去抱歉，暫時未有一星嘅麵食推介。！
163,我想去一星嘅雞肉串燒，有咩推介呀？,你可以去Yardbird！
164,我想去一星嘅越南菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅越南菜推介。！
165,我想去一星嘅拉丁美洲菜，有咩推介呀？,你可以去Mono！
166,我想去一星嘅壽司，有咩推介呀？,你可以去鮨．齋藤、Sushi Wadatsumi！
167,我想去一星嘅法國菜，有咩推介呀？,你可以去珀翠、吉地士！
168,我想去一星嘅滬菜，有咩推介呀？,你可以去留園雅敘、夜上海！
169,我想去一星嘅德國菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅德國菜推介。！
170,我想去一星嘅閩菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅閩菜推介。！
171,我想去一星嘅台灣菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅台灣菜推介。！
172,我想去一星嘅鐵板燒，有咩推介呀？,你可以去鑄·鐵板燒！
173,我想去一星嘅美國意大利菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅美國意大利菜推介。！
175,我想去一星嘅粥麵，有咩推介呀？,你可以去何洪記！
176,我想去一星嘅寧波菜，有咩推介呀？,你可以去甬府！
177,我想去一星嘅扒房，有咩推介呀？,你可以去Beefbar！
178,我想去一星嘅時尚意大利菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅時尚意大利菜推介。！
179,我想去一星嘅湘菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅湘菜推介。！
180,我想去一星嘅餃子，有咩推介呀？,你可以去抱歉，暫時未有一星嘅餃子推介。！
181,我想去一星嘅點心，有咩推介呀？,你可以去抱歉，暫時未有一星嘅點心推介。！
183,我想去一星嘅日本菜，有咩推介呀？,你可以去割烹凜、Ryota Kappou Modern、長本、Godenya、瑞兆！
184,我想去一星嘅星馬菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅星馬菜推介。！
185,我想去一星嘅時尚中國菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅時尚中國菜推介。！
186,我想去一星嘅瑞士菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅瑞士菜推介。！
187,我想去一星嘅意大利菜，有咩推介呀？,你可以去Estro、Tosca di Angelo！
188,我想去一星嘅粵菜，有咩推介呀？,你可以去廚魔名人坊、文華廳、都爹利會館、大班樓、家全七福、萬豪金殿、夏宮、御寶軒、嘉麟樓、新同樂、富豪、逸東軒、彭慶記、香宮、明閣、福臨門！
189,我想去一星嘅浙江菜，有咩推介呀？,你可以去浙江軒！
190,我想去一星嘅潮州菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅潮州菜推介。！
191,我想去一星嘅歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅歐陸菜推介。！
192,我想去一星嘅燒味，有咩推介呀？,你可以去一樂燒鵝、甘牌燒鵝！
193,我想去一星嘅新疆菜，有咩推介呀？,你可以去抱歉，暫時未有一星嘅新疆菜推介。！
195,我想去兩星嘅順德菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅順德菜推介。！
197,我想去兩星嘅創新菜，有咩推介呀？,你可以去Arbor、廚魔、Tate！
198,我想去兩星嘅天婦羅，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅天婦羅推介。！
199,我想去兩星嘅印尼菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅印尼菜推介。！
200,我想去兩星嘅韓國菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅韓國菜推介。！
201,我想去兩星嘅時尚歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅時尚歐陸菜推介。！
202,我想去兩星嘅時尚法國菜，有咩推介呀？,你可以去Amber、L'Envol！
203,我想去兩星嘅印度菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅印度菜推介。！
204,我想去兩星嘅川菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅川菜推介。！
206,我想去兩星嘅台州菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅台州菜推介。！
207,我想去兩星嘅麵食，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅麵食推介。！
208,我想去兩星嘅雞肉串燒，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅雞肉串燒推介。！
209,我想去兩星嘅越南菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅越南菜推介。！
211,我想去兩星嘅壽司，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅壽司推介。！
213,我想去兩星嘅滬菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅滬菜推介。！
214,我想去兩星嘅德國菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅德國菜推介。！
215,我想去兩星嘅閩菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅閩菜推介。！
216,我想去兩星嘅台灣菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅台灣菜推介。！
217,我想去兩星嘅鐵板燒，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅鐵板燒推介。！
218,我想去兩星嘅美國意大利菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅美國意大利菜推介。！
219,我想去兩星嘅馬來西亞菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅馬來西亞菜推介。！
220,我想去兩星嘅粥麵，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅粥麵推介。！
222,我想去兩星嘅扒房，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅扒房推介。！
223,我想去兩星嘅時尚意大利菜，有咩推介呀？,你可以去Noi by Paulo Airaudo！
224,我想去兩星嘅湘菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅湘菜推介。！
225,我想去兩星嘅餃子，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅餃子推介。！
226,我想去兩星嘅點心，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅點心推介。！
227,我想去兩星嘅泰國菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅泰國菜推介。！
228,我想去兩星嘅日本菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅日本菜推介。！
229,我想去兩星嘅星馬菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅星馬菜推介。！
231,我想去兩星嘅瑞士菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅瑞士菜推介。！
233,我想去兩星嘅粵菜，有咩推介呀？,你可以去營致會館、龍景軒、潤、天龍軒、麗晶軒！
234,我想去兩星嘅浙江菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅浙江菜推介。！
235,我想去兩星嘅潮州菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅潮州菜推介。！
236,我想去兩星嘅歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅歐陸菜推介。！
237,我想去兩星嘅燒味，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅燒味推介。！
238,我想去兩星嘅新疆菜，有咩推介呀？,你可以去抱歉，暫時未有兩星嘅新疆菜推介。！
239,我想去三星嘅拉麵，有咩推介呀？,你可以去抱歉，暫時未有三星嘅拉麵推介。！
240,我想去三星嘅順德菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅順德菜推介。！
241,我想去三星嘅海鮮，有咩推介呀？,你可以去抱歉，暫時未有三星嘅海鮮推介。！
242,我想去三星嘅創新菜，有咩推介呀？,你可以去旅！
243,我想去三星嘅天婦羅，有咩推介呀？,你可以去抱歉，暫時未有三星嘅天婦羅推介。！
244,我想去三星嘅印尼菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅印尼菜推介。！
245,我想去三星嘅韓國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅韓國菜推介。！
246,我想去三星嘅時尚歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅時尚歐陸菜推介。！
247,我想去三星嘅時尚法國菜，有咩推介呀？,你可以去L'Atelier de Joël Robuchon、Caprice！
248,我想去三星嘅印度菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅印度菜推介。！
249,我想去三星嘅川菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅川菜推介。！
250,我想去三星嘅街頭小吃，有咩推介呀？,你可以去抱歉，暫時未有三星嘅街頭小吃推介。！
251,我想去三星嘅台州菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅台州菜推介。！
252,我想去三星嘅麵食，有咩推介呀？,你可以去抱歉，暫時未有三星嘅麵食推介。！
253,我想去三星嘅雞肉串燒，有咩推介呀？,你可以去抱歉，暫時未有三星嘅雞肉串燒推介。！
254,我想去三星嘅越南菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅越南菜推介。！
255,我想去三星嘅拉丁美洲菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅拉丁美洲菜推介。！
256,我想去三星嘅壽司，有咩推介呀？,你可以去志魂！
257,我想去三星嘅法國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅法國菜推介。！
258,我想去三星嘅滬菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅滬菜推介。！
259,我想去三星嘅德國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅德國菜推介。！
260,我想去三星嘅閩菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅閩菜推介。！
261,我想去三星嘅台灣菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅台灣菜推介。！
262,我想去三星嘅鐵板燒，有咩推介呀？,你可以去抱歉，暫時未有三星嘅鐵板燒推介。！
264,我想去三星嘅馬來西亞菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅馬來西亞菜推介。！
265,我想去三星嘅粥麵，有咩推介呀？,你可以去抱歉，暫時未有三星嘅粥麵推介。！
267,我想去三星嘅扒房，有咩推介呀？,你可以去抱歉，暫時未有三星嘅扒房推介。！
268,我想去三星嘅時尚意大利菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅時尚意大利菜推介。！
269,我想去三星嘅湘菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅湘菜推介。！
270,我想去三星嘅餃子，有咩推介呀？,你可以去抱歉，暫時未有三星嘅餃子推介。！
271,我想去三星嘅點心，有咩推介呀？,你可以去抱歉，暫時未有三星嘅點心推介。！
274,我想去三星嘅星馬菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅星馬菜推介。！
275,我想去三星嘅時尚中國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅時尚中國菜推介。！
277,我想去三星嘅意大利菜，有咩推介呀？,你可以去8 1/2 Otto e Mezzo - Bombana！
278,我想去三星嘅粵菜，有咩推介呀？,你可以去唐閣、富臨飯店！
279,我想去三星嘅浙江菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅浙江菜推介。！
280,我想去三星嘅潮州菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅潮州菜推介。！
281,我想去三星嘅歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅歐陸菜推介。！
282,我想去三星嘅燒味，有咩推介呀？,你可以去抱歉，暫時未有三星嘅燒味推介。！
283,我想去三星嘅新疆菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅新疆菜推介。！
284,我想食意大利菜，你有冇邊間推介呀？,你可以考慮吓Octavium，呢間餐廳優雅的意大利傢具、妝點牆身的挪威樹皮、簡約的設計，都令人放鬆心情。菜單同樣呈現極簡主義：來自西西里島的新任主廚，選用日本新鮮食材，並把家鄉特色融入醬料之中。菜單包括多款海鮮及肉類，手工意粉更是不容錯過，尤其推薦招牌菜紅蝦意麵。如欲有完整的用餐體驗，不妨選擇六或八道菜的品嘗菜單。。。
285,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓Amber，呢間餐廳這典雅的餐廳以金色和米色為主調，加上名貴皮革座椅、淺色橡木餐桌等，盡顯奢華優雅。主廚以法國菜的技巧，配合各地進口的優質食材，設計出多款套餐。烹飪風格貼合現代飲食潮流：精緻、輕盈、低糖低鹽、不含麩質和奶製品，更提供素食選擇，滿足追求健康的客人。。。
286,我想食壽司，你有冇邊間推介呀？,你可以考慮吓志魂，呢間餐廳由著名室內設計師、木材及陶瓷職人聯手，雕琢出精緻的用餐環境。料理長柿沼先生十分重視料理的細節，他尤其擅長以熟成技巧處理魚料，如在熟成過程中加入不同的酒盜以作提味；米飯則選用來自京都、經特別混合的新米，以加強香味、甜度和幼滑度，配合兩種熟成四年的醋，令整體味道更臻極致。。。
287,我想食創新菜，你有冇邊間推介呀？,你可以考慮吓Arbor，呢間餐廳室內設計採用悠閒的地中海風格，讓人暫時遠離中環區的繁囂。祖籍芬蘭、經驗豐富的大廚堅持採用新鮮、主要源自日本的食材，以嫻熟的法式烹調技術，加上北歐精準細緻的態度料理菜餚，令食材的自然滋味得以提升。只供應套餐，包含多道精緻菜式，更可選擇加大主菜分量。服務專業周到，酒單更使人眼前一亮。。。
288,我想食日本菜，你有冇邊間推介呀？,你可以考慮吓割烹凜，呢間餐廳由銀座名店吉武壽司與本地的志魂聯手創立，呈現輕鬆而獨特的割烹料理體驗。日籍主廚來自仙台，擅於以獨特的調味配合優質食材，表達濃厚的味道。他透過每季節變更的廚師發辦套餐，展示對日本海陸產物的珍視，不論生食或熟食，均突顯材料的自然風味。不妨配搭日本清酒佐餐。惟座位有限，建議提早訂座。。。
289,我想食意大利菜，你有冇邊間推介呀？,你可以考慮吓Testina，呢間餐廳水磨石地板、橄欖綠色傢具，加上芥末黃色牆壁，裝潢洋溢七十年代米蘭的格調。餐廳與意大利食府Trippa Milano合作，依其食譜烹調經典的北意美食。菜單包含以豬頭肉、牛肚等食材炮製的菜式，體現「從頭吃到尾」的烹飪理念。推薦鴨肉醬闊條麵，其味道濃郁，不容錯過。愛嘗新的不妨留意隔天更新的特別菜單。。。
290,我想食意大利菜，你有冇邊間推介呀？,你可以考慮吓8 1/2 Otto e Mezzo - Bombana，呢間餐廳店東兼主廚Umberto Bombana除了熱衷烹飪，也對電影充滿熱情，因此餐廳以意大利著名導演費里尼的作品《八部半》命名。食物亦處處展露意國魅力，菜單羅列多款經典意大利美食，包括不容錯過的手製意粉，以及因應時令而設計的限定菜式。色、香、味俱全的佳餚，加上無懈可擊的服務，令人難以忘懷。。。
292,我想食燒味，你有冇邊間推介呀？,你可以考慮吓一樂燒鵝，呢間餐廳早於1957年開業，鎮店招牌脆皮燒鵝油光亮澤，乃根據老闆朱先生的家族秘方醃製，在自設工場經二十多道工序燒烤，色香味俱佳。每次只出爐十隻，因此得靠點運氣才可嘗到特定部位。一人獨享的話，建議點選四分一隻燒鵝，配搭鵝油清湯瀨粉。其他燒味均以炭爐燒烤，不要錯過化皮燒腩仔和蜜汁叉燒。。。
293,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓L'Atelier de Joël Robuchon，呢間餐廳Joël Robuchon 無疑是高級法國菜的同義詞。標誌性的紅黑裝潢，還有可欣賞到廚師出色烹調技巧的開放式廚房，皆是其餐廳標誌。由法籍主廚帶領的團隊，精挑細選世界各地的優質食材，巧手烹製成一道道精細的時尚菜餚。從選擇琳瑯滿目的麵包籃、精緻細膩的餐前小食，至餐後的小甜點，皆呈現了美味的極致。。。
294,我想食創新菜，你有冇邊間推介呀？,你可以考慮吓旅，呢間餐廳日籍大廚佐藤秀明將「純粹、簡約、時令」奉為其烹調信條，同時樂於嘗試不同的烹調技巧及食材配搭。其創作糅合了法式烹調手法和來自日本的時令頂級食材，菜式的質感和味道皆別樹一幟，滋味非凡。從每天新鮮製作的發酵奶油及酸種麵包，以至配搭的亞洲餐酒及日本清酒，處處精彩，叫人回味難忘。。。
295,我想食日本菜，你有冇邊間推介呀？,你可以考慮吓Ryota Kappou Modern，呢間餐廳老闆兼主廚以豐富經驗和當季的上乘食材，製作割烹風格的日式美食，菜單更會隨季節更新。其中晚市套餐包括餐廳自家代理的清酒，讓客人以美酒配佳餚。建議坐在圍繞開放式廚房的板前位置，好好欣賞廚師功架。餐室被落地玻璃圍繞，加上名家設計的傢具和陶瓷餐具，提供了獨特的視覺享受。。。
